iShares S&P 100 ETF
Fund Holdings as of,"Sep 02, 2020"
Inception Date,"Oct 23, 2000"
Shares Outstanding,"44,800,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Maturity,Market Currency
"AMGN","AMGEN INC","Health Care","Equity","56,681,861.40","0.76","56,681,861.40","219,595.00","031162100","US0311621009","2023607","258.12","United States","NASDAQ","USD","1.00","-","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","54,457,443.60","0.73","54,457,443.60","500,620.00","G5960L103","IE00BTN1Y115","BTN1Y11","108.78","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","54,066,836.80","0.72","54,066,836.80","462,901.00","654106103","US6541061031","2640147","116.80","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","52,667,984.60","0.70","52,667,984.60","182,710.00","65339F101","US65339F1012","2328915","288.26","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","52,035,060.00","0.69","52,035,060.00","844,725.00","110122108","US1101221083","2126335","61.60","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","51,729,194.64","0.69","51,729,194.64","419,948.00","747525103","US7475251036","2714923","123.18","United States","NASDAQ","USD","1.00","-","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","50,583,678.60","0.67","50,583,678.60","342,615.00","882508104","US8825081040","2885409","147.64","United States","NASDAQ","USD","1.00","-","USD"
"UNP","UNION PACIFIC CORP","Industrials","Equity","49,721,845.88","0.66","49,721,845.88","253,321.00","907818108","US9078181081","2914734","196.28","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"DHR","DANAHER CORP","Health Care","Equity","49,321,323.09","0.66","49,321,323.09","234,897.00","235851102","US2358511028","2250870","209.97","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","48,052,606.50","0.64","48,052,606.50","281,850.00","548661107","US5486611073","2536763","170.49","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"LLY","ELI LILLY","Health Care","Equity","47,017,174.05","0.63","47,017,174.05","314,391.00","532457108","US5324571083","2516152","149.55","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"PM","PHILIP MORRIS INTERNATIONAL INC","Consumer Staples","Equity","46,490,134.56","0.62","46,490,134.56","581,272.00","718172109","US7181721090","B2PKRQ3","79.98","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"ORCL","ORACLE CORP","Information Technology","Equity","45,868,671.20","0.61","45,868,671.20","777,040.00","68389X105","US68389X1054","2661568","59.03","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"HON","HONEYWELL INTERNATIONAL INC","Industrials","Equity","45,188,864.70","0.60","45,188,864.70","262,010.00","438516106","US4385161066","2020459","172.47","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"UPS","UNITED PARCEL SERVICE INC CLASS B","Industrials","Equity","43,574,112.54","0.58","43,574,112.54","262,843.00","911312106","US9113121068","2517382","165.78","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","42,484,876.46","0.57","42,484,876.46","331,447.00","459200101","US4592001014","2005973","128.18","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"AMT","AMERICAN TOWER REIT CORP","Real Estate","Equity","42,447,415.50","0.57","42,447,415.50","165,487.00","03027X100","US03027X1000","B7FBFL2","256.50","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"C","CITIGROUP INC","Financials","Equity","40,376,579.00","0.54","40,376,579.00","777,220.00","172967424","US1729674242","2297907","51.95","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"SBUX","STARBUCKS CORP","Consumer Discretionary","Equity","38,525,901.00","0.51","38,525,901.00","436,060.00","855244109","US8552441094","2842255","88.35","United States","NASDAQ","USD","1.00","-","USD"
"LMT","LOCKHEED MARTIN CORP","Industrials","Equity","36,672,198.75","0.49","36,672,198.75","92,125.00","539830109","US5398301094","2522096","398.07","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MMM","3M","Industrials","Equity","36,397,187.20","0.49","36,397,187.20","214,720.00","88579Y101","US88579Y1010","2595708","169.51","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CHTR","CHARTER COMMUNICATIONS INC CLASS A","Communication","Equity","35,022,771.70","0.47","35,022,771.70","56,266.00","16119P108","US16119P1084","BZ6VT82","622.45","United States","NASDAQ","USD","1.00","-","USD"
"BLK","BLACKROCK INC","Financials","Equity","35,011,680.00","0.47","35,011,680.00","57,585.00","09247X101","US09247X1019","2494504","608.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BA","BOEING","Industrials","Equity","34,978,371.84","0.47","34,978,371.84","200,128.00","097023105","US0970231058","2108601","174.78","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"WFC","WELLS FARGO","Financials","Equity","34,222,815.90","0.46","34,222,815.90","1,392,870.00","949746101","US9497461015","2649100","24.57","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"RTX","RAYTHEON TECHNOLOGIES CORP","Industrials","Equity","34,040,232.00","0.45","34,040,232.00","549,036.00","75513E101","US75513E1010","BM5M5Y3","62.00","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"MDLZ","MONDELEZ INTERNATIONAL INC CLASS A","Consumer Staples","Equity","31,515,647.73","0.42","31,515,647.73","534,073.00","609207105","US6092071058","B8CKK03","59.01","United States","NASDAQ","USD","1.00","-","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","31,215,241.56","0.42","31,215,241.56","467,364.00","375558103","US3755581036","2369174","66.79","United States","NASDAQ","USD","1.00","-","USD"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","30,357,712.32","0.41","30,357,712.32","693,732.00","02209S103","US02209S1033","2692632","43.76","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","30,160,600.58","0.40","30,160,600.58","202,054.00","149123101","US1491231015","2180201","149.27","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","29,776,594.40","0.40","29,776,594.40","15,280.00","09857L108","US09857L1089","BDRXDB4","1,948.73","United States","NASDAQ","USD","1.00","-","USD"
"CVS","CVS HEALTH CORP","Health Care","Equity","29,719,816.30","0.40","29,719,816.30","487,930.00","126650100","US1266501006","2577609","60.91","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
"TGT","TARGET CORP","Consumer Discretionary","Equity","27,969,134.40","0.37","27,969,134.40","186,660.00","87612E106","US87612E1064","2259101","149.84","United States","New York Stock Exchange Inc.","USD","1.00","-","USD"
